[17-Nov-2020 19:09:52 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:09:52 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:10:10 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:10:14 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:10:14 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:10:22 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:10:22 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:10:29 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:10:29 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:12:16 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:12:16 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:12:19 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:12:19 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:13:01 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:13:01 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:13:21 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:13:21 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:13:24 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:13:24 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:13:37 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:13:37 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:13:45 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:13:45 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:14:56 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
